Question,Answer
What is the Balance Flexx application timing for field and seed corn?,"The application timing for Balance Flexx in field and seed corn includes burndown, preplant, preplant incorporated, preemergence, and early postemergence."
What is the Balance Flexx rate per acre range for field corn?,The rate per acre range for Balance Flexx in field corn is 3.0 to 6.0 oz/A.
What is the Autumn Super application timing for field corn?,"The Autumn Super application timing for field corn is postharvest and burndown, occurring 30 or more days before planting."
What is the Autumn Super application rate per acre for field corn?,"The application rate of Autumn Super for field corn is 0.5 oz per acre if applied prior to November 1st for soils with a pH of less than 6.8, or 0.3 oz per acre if applied after November 1st for soils with a pH greater than 6.8."
What are key tank mixes for Autumn Super in field corn?,"Key tank mixes for Autumn Super in field corn include 1-2 pt of 2,4-D, 8 oz of dicamba, or 4-6 oz of metribuzin."
What are additives for Autumn Super in field corn?,"The additives for Autumn Super in field corn include COC, MSO, or an equivalent oil blend at a rate of 1% v/v, along with 1.5 lb of AMS."
What key weeds does Autumn Super control in field corn?,"Autumn Super controls key weeds in field corn including Hemlock, Henbit, Marestail, Mustard, Pennycress, Pigweed, Thistle, Dandelion, and Alfalfa."
What is Propulse application timing for Field Corn?,The application timing for Propulse in Field Corn is in-furrow.
What is the Propulse application rate per acre for field corn?,The application rate of Propulse for field corn is 8 fluid ounces per acre.
What are key tank mixes for Propulse in field corn?,"Key tank mixes for Propulse in field corn require a minimum carrier volume of 5 gallons per acre. Additionally, it is important to avoid tank mixing with fertilizer."
What are the key pests surpressed or controlled by Propulse in field corn?,"Propulse suppresses or controls nematodes and early corn diseases, such as anthracnose, in field corn."
What is the application timing of TriVolt in field corn?,The application timing of TriVolt in field corn is PREPLANT-PRE and POST up to the 2-leaf stage.
What is the application rate per acre of TriVolt in field corn?,The application rate of TriVolt in field corn is 12-20 ounces per acre.
What are key tank mixes with TriVolt in field corn?,"Key tank mixes with TriVolt in field corn include Atrazine, Roundup Brand Herbicides, and Diflexx."
What are additives for TriVolt in field corn?,Additives for TriVolt in field corn include 1% crop oil concentrate (COC) or 20 gallons per acre (GPA) of nitrogen (N) applied prior to crop emergence.
What are key weeds I can use Trivolt for in field corn?,"Key weeds that Trivolt can be used for in field corn include Kochia, Palmer Amaranth, Russian Thistle, Sunflower, Velvetleaf, Nightshade, Lambsquarters, Foxtails, Puncturevine, Crabgrass, Wooly Cupgrass, and partially for Grassy Sandbur and Dandelion."
List TriVolt approved corn crops.,The TriVolt approved corn crops include Field Corn and Seed Corn.
List Propulse approved corn crops.,"The Propulse approved corn crops include Field corn, Popcorn, Seed corn, Sweet corn, and Silage."
What is the application timing of Corvus in field corn?,"Corvus can be applied in field corn during the pre-plant to pre-emergence stage, and also post-emergence up to the 2-leaf stage."
What is the application rate per acre of Corvus in field corn?,The application rate of Corvus in field corn is 3.3 to 5.6 oz/A.
What are key tank mixes for Corvus in field corn?,Key tank mixes for Corvus in field corn include Atrazine and/or Harness Xtra/Degree Xtra.
What are additives for Corvus in field corn?,Additives for Corvus in field corn include 1% COC or 20 gallons per acre of nitrogen (N) prior to crop emergence.
What weeds does Corvus work on?,"Corvus works on Kochia, Palmer, Russian Thistle, Sunflower, Velvetleaf, Nightshade, Lambsquarters, Foxtails, Crabgrass, Wooly Cupgrass, and has partial effectiveness on Sandbur, Puncturevine, and Dandelion."
List Corvus approved corn crops?,Corvus approved corn crops include Field corn and Seed corn.
What is the site of action for TripleFlex II?,"The site of action for TripleFlex II is attributed to its active ingredients: Acetochlor (15), Flumetsulam (2), and Clopyralid (4)."
What is the application window for TriplFlex II in field corn?,"The application window for TriplFlex II in field corn is preplant when soil organic matter is greater than 1.5% and pH is between 5.9 and 7.8, and post-emergence up to 11 inches tall corn."
What is the application rate per acre for TripleFlex II in field corn?,The application rate for TripleFlex II in field corn is 1.5 to 2.5 pints per acre.
